UID,sex,race,MarriageStatus,DateOfBirth,age,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,c_days_from_compas,c_charge_degree,is_recid,is_violent_recid,v_decile_score,priors_count.1,start,end,event,two_year_recid,Violence_rawscore,Recidivism_rawscore,age_inv,age_bin,age_bucket,race_bin,rand
1060,0,3,1,3/10/91,25,0,10,0,0.117647059,0.105263158,0.2746431,0.000421719,0,0,0,7,0.105263158,0,0.126475548,0,0,0.573741007,0.786780384,75,0,0,1,0.396400804
2405,0,1,2,3/19/86,30,0,1,0.076923077,0.058823529,0.078947368,0.280761387,0.00010543,0,0,0,1,0.078947368,0,0.930860034,0,0,0.293165468,0.268656716,70,0,1,1,0.908693173
6539,0,2,1,5/3/94,21,0,3,0,0,0,0.280081577,0.000210859,1,0,0,5,0,0.01280683,0.665261383,0,0,0.510791367,0.475479744,79,0,0,0,0.717934619
6618,0,3,1,12/30/87,28,0,4,0,0,0,0.280761387,0.00010543,0,0,0,5,0,0,0.924957841,0,0,0.482014388,0.49466951,72,0,0,1,0.449938466
3570,0,4,1,5/19/81,34,0,1,0,0,0,0.281441196,0,0,0,0,1,0,0,0.924114671,0,0,0.302158273,0.458422175,66,0,1,1,0.551794329
1513,0,2,1,3/25/89,27,0,2,0,0,0.026315789,0.280761387,0.00010543,1,0,0,2,0.026315789,0,0.668634064,0,0,0.361510791,0.360341151,73,0,0,0,0.94171444
1758,1,2,7,9/30/76,39,0,5,0,0,0,0.280761387,0.00010543,1,1,0,2,0,0.001067236,0.075885329,1,1,0.318345324,0.496801706,61,1,1,0,0.610736848
5542,0,2,1,12/8/80,35,0,4,0,0,0.105263158,0.280761387,0.00010543,1,0,0,5,0.105263158,0.010672359,0.534569983,0,0,0.487410072,0.486140725,65,1,1,0,0.28392614
1927,0,2,1,8/25/89,26,0,5,0,0,0,0.281441196,0.00010543,0,1,0,4,0,0,0.955311973,1,0,0.449640288,0.554371002,74,0,0,0,0.282308042
872,0,2,1,6/14/69,46,0,2,0,0,0.052631579,0.281441196,0,1,1,0,2,0.052631579,0.009605123,0.076728499,1,1,0.419064748,0.411513859,54,1,2,0,0.85594522
375,0,3,1,10/7/67,48,0.05,8,0,0,0.605263158,0.280761387,0.00010543,1,1,1,5,0.605263158,0.68303095,0.57925801,1,1,0.496402878,0.671641791,52,1,2,1,0.086954572
4118,0,3,2,10/28/66,49,0,1,0,0,0,0.281441196,0.00010543,0,0,0,1,0,0,0.935919056,0,0,0.275179856,0.317697228,51,1,2,1,0.234382798
618,0,2,1,1/9/86,30,0,8,0,0,0.210526316,0.280761387,0.00010543,1,1,0,3,0.210526316,0.001067236,0.322091062,1,1,0.420863309,0.680170576,70,0,1,0,0.648945275
2363,0,2,1,7/6/93,22,0,6,0,0,0.026315789,0.280761387,0.00010543,1,1,0,4,0.026315789,0.001067236,0.092748735,1,1,0.462230216,0.57782516,78,0,0,0,0.156216671
2133,0,1,1,8/23/83,32,0,1,0,0,0,0.281441196,0,1,1,0,1,0,0.023479189,0.119730185,0,1,0.300359712,0.309168443,68,0,1,1,0.927634326
911,1,4,1,4/3/95,21,0,7,0,0,0,0.280761387,0.00010543,0,1,0,7,0,0,0.360876897,1,1,0.579136691,0.601279318,79,0,0,1,0.953551885
2480,0,4,1,11/18/91,24,0,2,0,0,0.026315789,0.228416044,0.008223511,0,0,0,4,0.026315789,0,0.687183811,0,0,0.444244604,0.424307036,76,0,0,1,0.63797674
402,0,3,1,4/6/94,22,0,5,0,0,0.026315789,0.280761387,0.00010543,1,1,0,5,0.026315789,0,0.108768971,1,1,0.51618705,0.560767591,78,0,0,1,0.850575143
4473,0,2,3,2/15/93,23,0,6,0,0.058823529,0.131578947,0.281441196,0.00010543,1,1,0,5,0.131578947,0.001067236,0.18296796,0,1,0.505395683,0.599147122,77,0,0,0,0.331387171
295,0,2,1,1/8/89,27,0.05,8,0,0.058823529,0.105263158,0.485384092,0.074538745,0,1,0,10,0.105263158,0,0.252951096,1,1,0.715827338,0.680170576,73,0,0,0,0.250838032
4387,0,3,1,6/4/79,36,0,3,0,0,0.131578947,0.280761387,0.00010543,1,1,0,2,0.131578947,0,0.05143339,1,1,0.339928058,0.456289979,64,1,1,1,0.706146612
1423,0,4,1,9/22/89,26,0,1,0,0,0,0.280761387,0.00010543,0,1,0,3,0,0,0.027824621,1,1,0.474820144,0.571428571,74,0,0,1,0.824567381
5906,0,4,1,12/17/92,23,0,9,0.076923077,0,0.052631579,0.280761387,0.00010543,1,0,0,7,0.052631579,0.023479189,0.661888702,0,0,0.59352518,0.765458422,77,0,0,1,0.668580106
6561,0,2,1,1/6/87,29,0,1,0,0,0,0.281441196,0,0,0,0,2,0,0.001067236,0.720910624,0,0,0.339928058,0.341151386,71,0,0,0,0.943836646
3026,0,4,1,10/14/84,31,0,3,0,0,0.210526316,0.280761387,0.00010543,1,1,0,3,0.210526316,0.01280683,0.053962901,1,1,0.399280576,0.458422175,69,0,1,1,0.177433576
5769,0,3,1,2/27/77,39,0,1,0,0,0,0.280761387,0.00010543,1,0,0,1,0,0,0.688026981,0,0,0.212230216,0.221748401,61,1,1,1,0.991091213
1375,1,2,1,1/26/93,23,0,6,0,0,0,0.280761387,0.00010543,0,0,0,6,0,0,0.940134907,0,0,0.53057554,0.520255864,77,0,0,0,0.247837024
951,1,2,2,10/6/77,38,0,7,0.076923077,0,0.210526316,-1,0.00010543,0,1,1,4,0.210526316,0,0.325463744,1,1,0.444244604,0.582089552,62,1,1,0,0.237172392
4750,0,2,1,1/3/85,31,0,10,0,0,0.026315789,0.281441196,0.00010543,1,1,0,6,0.026315789,0,0.160202361,1,1,0.541366906,0.805970149,69,0,1,0,0.232295471
1859,0,2,1,12/14/93,22,0,3,0,0,0,0.280761387,0.00010543,1,0,0,5,0,0,0.945193929,0,0,0.512589928,0.460554371,78,0,0,0,0.347575399
1279,0,2,1,7/18/95,20,0,7,0,0.058823529,0,0.280761387,0.00010543,1,1,0,6,0,0,0.002529511,1,1,0.728417266,0.784648188,80,0,0,0,0.389260386
6345,0,2,1,1/9/82,34,0,3,0,0,0.052631579,0.280761387,0.00010543,1,1,0,2,0.052631579,0,0.309443508,1,1,0.311151079,0.460554371,66,0,1,0,0.242217741
1961,0,2,1,10/13/59,56,0,2,0,0,0.026315789,0.280761387,0.00010543,1,0,0,1,0.026315789,0,0.745362563,0,0,0.287769784,0.411513859,44,1,2,0,0.409514739
1218,0,2,1,8/21/91,24,0,3,0,0,0,0.280761387,0.00010543,1,1,0,4,0,0,0.004215852,1,1,0.442446043,0.441364606,76,0,0,0,0.300377907
4069,0,4,3,12/25/78,37,0,2,0,0,0.026315789,0.280761387,0.00010543,1,1,0,1,0.026315789,0,0.476391231,1,1,0.242805755,0.349680171,63,1,1,1,0.007478798
5615,1,2,1,9/5/88,27,0,6,0,0,0.026315789,0.280761387,0.00010543,0,1,0,4,0.026315789,0.016008538,0.279932546,1,1,0.451438849,0.584221748,73,0,0,0,0.160148205
4130,0,4,1,10/15/85,30,0,2,0,0,0.026315789,0.281441196,0.00010543,1,1,0,2,0.026315789,0,0.408094435,1,1,0.329136691,0.358208955,70,0,1,1,0.830208666
3702,1,2,1,10/30/83,32,0,6,0,0,0.078947368,0.280761387,0.00010543,0,0,0,4,0.078947368,0,0.635750422,0,0,0.433453237,0.524520256,68,0,1,0,0.816080169
6016,0,3,1,8/20/90,25,0,6,0,0,0.052631579,0.281441196,0,1,1,0,7,0.052631579,0,0.798482293,1,0,0.597122302,0.607675906,75,0,0,1,0.74508942
81,1,2,1,9/16/80,35,0,2,0,0,0.026315789,0.280761387,0.00010543,0,0,0,1,0.026315789,0,0.925801012,0,0,0.302158273,0.313432836,65,1,1,0,0.196492126
3413,0,2,2,10/3/81,34,0.05,10,0,0,0.552631579,0.280761387,0.00010543,0,1,1,10,0.552631579,0.005336179,0.087689713,1,1,0.730215827,0.782515991,66,0,1,0,0.198233339
5060,0,3,1,1/31/59,57,0,1,0,0,0,0.281441196,0.00010543,0,1,0,1,0,0,0.482293423,1,1,0.194244604,0.226012793,43,1,2,1,0.103025932
2904,0,2,1,11/7/87,28,0.05,10,0,0,0.184210526,0.280761387,0.00010543,1,1,1,7,0.184210526,0,0.109612142,0,1,0.604316547,0.857142857,72,0,0,0,0.117130348
1574,0,2,1,6/13/87,28,0.1,10,0.076923077,0,0.289473684,0.280761387,0.00010543,1,0,0,5,0.289473684,0.026680896,0.742833052,0,0,0.478417266,0.833688699,72,0,0,0,0.877826016
2269,0,3,1,1/5/55,61,0,6,0,0,0.263157895,0.280761387,0.00010543,1,0,0,5,0.263157895,0.023479189,0.069139966,0,0,0.482014388,0.588486141,39,1,2,1,0.309875119
2878,0,3,1,1/15/91,25,0,9,0.153846154,0.058823529,0.236842105,0.281441196,0,1,0,0,9,0.236842105,0.057630736,0.995784148,0,0,0.652877698,0.750533049,75,0,0,1,0.949761449
5907,0,2,1,12/26/59,56,0,7,0,0,0.736842105,0.23453433,0.007274644,1,0,0,4,0.736842105,0,0.269814503,0,0,0.433453237,0.618336887,44,1,2,0,0.87540359
3733,0,4,2,12/23/62,53,0,2,0,0,0.473684211,0.281441196,0,1,0,0,1,0.473684211,0.001067236,0.790893761,0,0,0.264388489,0.385927505,47,1,2,1,0.393881461
6468,0,1,2,7/30/75,40,0,1,0,0,0.026315789,0.280761387,0.00010543,1,0,0,1,0.026315789,0,0.458684654,0,0,0.232014388,0.249466951,60,1,1,1,0.663634398
4169,0,3,1,11/8/91,24,0,2,0,0,0,0.281441196,0,1,0,0,3,0,0,0.693929174,0,0,0.420863309,0.405117271,76,0,0,1,0.248514867
6747,0,3,1,6/28/82,33,0,3,0,0,0.052631579,0.280761387,0.00010543,0,1,0,2,0.052631579,0.001067236,0.136593592,1,1,0.34352518,0.437100213,67,0,1,1,0.171007609
5843,0,2,7,3/8/55,61,0,2,0,0,0.210526316,0.266485384,0.002319452,1,1,0,1,0.210526316,0,0.335581788,1,1,0.223021583,0.420042644,39,1,2,0,0.836327808
3899,0,2,2,2/10/68,48,0,1,0,0,0,0.281441196,0,0,0,0,1,0,0.001067236,0.925801012,0,0,0.143884892,0.149253731,52,1,2,0,0.216901972
1895,0,4,7,12/26/59,56,0,4,0,0,0.210526316,-1,0.034791776,0,0,0,3,0.210526316,0,0.906408094,0,0,0.395683453,0.524520256,44,1,2,1,0.394438663
5768,0,3,5,5/14/93,22,0,7,0,0,0.078947368,0.281441196,0.00010543,1,1,0,5,0.078947368,0.002134472,0.044688027,0,1,0.487410072,0.618336887,78,0,0,1,0.97005925
2541,1,3,1,5/27/70,45,0,3,0,0,0.026315789,0.280761387,0.00010543,1,1,0,1,0.026315789,0,0.080944351,0,1,0.208633094,0.409381663,55,1,2,1,0.96975602
5385,1,2,1,10/9/93,22,0,6,0,0,0,0.281441196,0.00010543,1,0,0,7,0,0.001067236,0.940978078,0,0,0.577338129,0.528784648,78,0,0,0,0.698677012
1450,0,2,1,1/16/82,34,0,7,0,0,0.394736842,0.277362339,0.000632578,1,0,0,7,0.394736842,0,0.193929174,0,0,0.597122302,0.648187633,66,0,1,0,0.750824165
1496,0,4,1,8/17/83,32,0,5,0,0,0.052631579,0.281441196,0,0,1,0,2,0.052631579,0.001067236,0.1846543,1,1,0.316546763,0.547974414,68,0,1,1,0.184074443
5548,0,2,1,9/10/84,31,0,9,0,0,0,0.280761387,0.00010543,0,0,0,4,0,0.001067236,0.68296796,0,0,0.458633094,0.742004264,69,0,1,0,0.576878232
6202,0,4,1,11/30/87,28,0,8,0,0,0.210526316,0.558123725,0.007380074,0,1,0,6,0.210526316,0,0.34317032,0,1,0.561151079,0.695095949,72,0,0,1,0.800602917
4123,1,2,5,2/1/89,27,0,5,0,0,0.026315789,0.281441196,0.00010543,1,1,0,4,0.026315789,0,0.295952782,1,1,0.465827338,0.511727079,73,0,0,0,0.011910547
3385,0,2,1,9/21/94,21,0,6,0,0,0.026315789,0.280761387,0.00010543,1,1,1,6,0.026315789,0.001067236,0.057335582,0,1,0.526978417,0.586353945,79,0,0,0,0.693861042
133,1,3,1,2/5/71,45,0,4,0,0,0.105263158,-1,0.03953611,1,0,0,3,0.105263158,0,0.904721754,0,0,0.386690647,0.452025586,55,1,2,1,0.933926613
5097,0,2,1,12/14/91,24,0,8,0,0,0.026315789,0.281441196,0.00010543,0,1,0,6,0.026315789,0.014941302,0.05143339,1,1,0.550359712,0.71641791,76,0,0,0,0.433562936
1928,0,3,2,6/28/73,42,0,1,0,0,0.026315789,0.280761387,0.00010543,0,0,0,1,0.026315789,0.002134472,0.665261383,0,0,0.160071942,0.202558635,58,1,1,1,0.801669917
5828,1,3,1,7/16/65,50,0,3,0,0,0.078947368,0.281441196,0,1,1,0,1,0.078947368,0,0.293423272,1,1,0.221223022,0.402985075,50,1,2,1,0.090116797
1834,0,2,1,9/11/85,30,0,10,0.230769231,0,0.473684211,0.280761387,0.00010543,0,0,0,8,0.473684211,0.01814301,0.47301855,0,0,0.633093525,0.805970149,70,0,1,0,0.706110535
1152,0,2,1,2/25/74,42,0,1,0,0,0,0.281441196,0.00010543,0,0,0,1,0,0,0.067453626,0,0,0.287769784,0.398720682,58,1,1,0,0.156585572
2175,1,2,1,2/22/91,25,0,3,0,0,0.026315789,0.280761387,0.00010543,1,0,0,3,0.026315789,0.003201708,0.953625632,0,0,0.420863309,0.381663113,75,0,0,0,0.425915866
3765,1,2,1,10/7/92,23,0,5,0,0,0,0.280761387,0.00010543,1,1,0,5,0,0.001067236,0.286677909,1,1,0.508992806,0.486140725,77,0,0,0,0.119665198
5479,0,3,1,12/11/83,32,0,5,0,0,0.078947368,0.280761387,0.00010543,1,0,0,2,0.078947368,0.128068303,0.3153457,0,0,0.365107914,0.552238806,68,0,1,1,0.659792889
3090,1,2,1,7/11/89,26,0,2,0,0,0.078947368,0.280761387,0.00010543,1,1,0,2,0.078947368,0,0.165261383,1,1,0.334532374,0.336886994,74,0,0,0,0.08622038
224,0,3,1,5/13/87,28,0,5,0,0,0.026315789,0.281441196,0,1,0,0,3,0.026315789,0.006403415,0.773187184,0,0,0.422661871,0.545842217,72,0,0,1,0.2873387
1430,1,3,1,6/26/95,20,0,10,0.153846154,0.058823529,0.078947368,0.280761387,0.00010543,0,1,1,8,0.078947368,0,0.022765599,0,1,0.642086331,0.739872068,80,0,0,1,0.12715329
154,0,3,1,8/21/67,48,0,2,0,0,0.052631579,0.280761387,0.00010543,0,0,0,1,0.052631579,0,0.774030354,0,0,0.241007194,0.362473348,52,1,2,1,0.328793695
4268,0,4,2,1/25/70,46,0,3,0,0,0.342105263,0.280761387,0.00010543,1,0,0,2,0.342105263,0.150480256,0.998313659,0,0,0.357913669,0.437100213,54,1,2,1,0.309819327
254,1,2,1,8/23/78,37,0,1,0,0,0.052631579,0.281441196,0,1,0,0,1,0.052631579,0.001067236,0.247892074,0,0,0.215827338,0.213219616,63,1,1,0,0.650515701
4877,0,2,4,7/3/91,24,0,6,0,0.058823529,0.026315789,0.281441196,0,1,1,0,4,0.026315789,0,0.284991568,0,1,0.462230216,0.588486141,76,0,0,0,0.426767413
3099,0,2,1,7/3/94,21,0,8,0.076923077,0.058823529,0.078947368,0.281441196,0,0,1,0,8,0.078947368,0.019210245,0.231028668,1,1,0.613309353,0.703624733,79,0,0,0,0.844104274
1114,0,4,1,6/25/94,21,0,4,0,0,0,0.280761387,0.00010543,1,0,0,6,0,0.003201708,0.71079258,0,0,0.537769784,0.484008529,79,0,0,1,0.554553738
3776,0,3,1,5/13/83,32,0,2,0,0,0.157894737,0.280761387,0.00010543,1,1,0,3,0.157894737,0.002134472,0.043844857,1,1,0.402877698,0.454157783,68,0,1,1,0.761322868
4696,1,2,1,11/3/84,31,0,5,0,0,0.026315789,0.280761387,0.00010543,0,0,0,3,0.026315789,0,0.97301855,0,0,0.383093525,0.496801706,69,0,1,0,0.533361531
5417,0,2,1,5/4/85,30,0,1,0,0,0.026315789,0.280761387,0.00010543,1,0,0,2,0.026315789,0,0.94688027,0,0,0.293165468,0.298507463,70,0,1,0,0.812447393
4420,1,3,1,11/23/88,27,0,2,0,0,0,0.281441196,0,0,1,0,2,0,0,0.075042159,1,1,0.325539568,0.292110874,73,0,0,1,0.931937238
1825,1,3,2,6/17/84,31,0,3,0,0,0,0.278042148,0.000527148,0,0,0,2,0,0,0.8693086,0,0,0.361510791,0.390191898,69,0,1,1,0.087888904
3340,0,3,2,8/9/77,38,0,1,0,0,0.131578947,0.27396329,0.001159726,1,1,0,2,0.131578947,0,0.038785835,1,1,0.363309353,0.319829424,62,1,1,1,0.450703978
2791,0,2,2,3/11/90,26,0,9,0,0,0.157894737,0.280761387,0.00010543,1,1,0,7,0.157894737,0.001067236,0.242833052,1,1,0.573741007,0.722814499,74,0,0,0,0.877012772
1093,0,1,1,7/15/95,20,0,4,0,0,0,0.280761387,0.00010543,0,1,0,7,0,0.011739594,0.594435076,1,1,0.586330935,0.50533049,80,0,0,1,0.593081137
3528,0,1,3,8/2/55,60,0,1,0,0,0.026315789,0.280761387,0.00010543,0,0,0,1,0.026315789,0,0.647554806,0,0,0.04676259,0.044776119,40,1,2,1,0.994649005
968,0,4,7,7/17/64,51,0,1,0,0,0,0.281441196,0.00010543,1,1,0,1,0,0.001067236,0.036256324,1,1,0.178057554,0.213219616,49,1,2,1,0.476144895
6577,1,2,1,9/9/92,23,0,7,0,0,0.052631579,0.280761387,0.00010543,0,1,0,5,0.052631579,0,0.198145025,1,1,0.494604317,0.597014925,77,0,0,0,0.33941533
1544,0,2,3,7/31/70,45,0,7,0,0,0.210526316,0.280761387,0,1,1,1,4,0.210526316,0,0.117200675,1,1,0.383093525,0.592750533,55,1,2,0,0.254823767
811,1,3,2,6/28/76,39,0,2,0,0,0.026315789,0.280761387,0.00010543,0,1,0,1,0.026315789,0.009605123,0.279932546,1,1,0.260791367,0.292110874,61,1,1,1,0.019145313
3162,1,2,1,9/27/66,49,0,1,0,0,0.026315789,0.280761387,0.00010543,1,0,0,1,0.026315789,0,0.663575042,0,0,0.129496403,0.102345416,51,1,2,0,0.199378935
2058,0,2,1,9/15/95,20,0.05,8,0,0,0.026315789,0.571719918,0.012967844,1,1,0,8,0.026315789,0,0.344013491,1,1,0.570143885,0.68869936,80,0,0,0,0.39939508
5550,1,4,5,12/19/86,29,0,3,0,0,0,0.281441196,0,1,0,0,3,0,0,0.901349073,0,0,0.381294964,0.381663113,71,0,0,1,0.987556391
2742,0,2,1,11/10/62,53,0,7,0,0,0.473684211,0.280761387,0.00010543,0,1,0,1,0.473684211,0.042689434,0.071669477,1,1,0.271582734,0.626865672,47,1,2,0,0.378325293
3988,0,2,1,8/3/86,29,0,10,0,0,0.184210526,0.281441196,0,0,1,0,9,0.184210526,0.009605123,0.378583474,1,1,0.651079137,0.727078891,71,0,0,0,0.85948383
1132,0,5,1,2/12/74,42,0,2,0,0,0,0.280761387,0.00010543,0,0,0,1,0,0.002134472,0.966273187,0,0,0.284172662,0.390191898,58,1,1,1,0.023752363
511,0,4,1,1/11/84,32,0.05,10,0.076923077,0,0.526315789,0.281441196,0,1,0,0,7,0.526315789,0.001067236,1,0,0,0.59352518,0.791044776,68,0,1,1,0.237086669
4083,1,4,5,6/23/80,35,0,2,0,0,0,0.280761387,0.00010543,0,0,0,1,0,0,0.675379427,0,0,0.244604317,0.292110874,65,1,1,1,0.535029742
6246,0,2,1,11/13/81,34,0.15,7,0.076923077,0,0.342105263,0.280761387,0.00010543,1,1,0,2,0.342105263,0,0.488195616,1,1,0.338129496,0.631130064,66,0,1,0,0.221106114
4362,0,4,2,3/24/62,54,0,5,0,0,0.131578947,0.382732835,0.068529257,1,0,0,1,0.131578947,0,0.125632378,0,0,0.258992806,0.55010661,46,1,2,1,0.910995858
3367,0,1,3,1/6/86,30,0,1,0,0,0,0.280761387,0.00010543,1,0,0,2,0,0,0.957841484,0,0,0.314748201,0.300639659,70,0,1,1,0.365238693
5795,0,3,1,8/10/85,30,0,9,0,0,0,0.280761387,0.00010543,1,1,0,3,0,0.038420491,0.031197302,1,1,0.383093525,0.71641791,70,0,1,1,0.54274158
1665,1,4,1,3/14/68,48,0,6,0,0,0.236842105,0.222297757,0.009172377,1,0,0,6,0.236842105,0,0.86762226,0,0,0.555755396,0.547974414,52,1,2,1,0.271669089
6599,0,4,2,8/2/74,41,0,1,0,0,0.026315789,0.278721958,0.000421719,0,0,0,1,0.026315789,0,0.870151771,0,0,0.174460432,0.262260128,59,1,1,1,0.077424243
5314,0,2,1,6/22/65,50,0,9,0,0,0.236842105,-1,0.02266737,1,0,0,7,0.236842105,0,0.834738617,0,0,0.582733813,0.752665245,50,1,2,0,0.281026045
103,0,3,1,2/19/82,34,0,5,0,0,0,0.281441196,0,1,0,0,5,0,0.016008538,0.371838111,0,0,0.491007194,0.567164179,66,0,1,1,0.871652637
4462,0,2,1,7/9/86,29,0,4,0,0,0.026315789,0.280761387,0.00010543,1,1,1,5,0.026315789,0,0.284148398,1,1,0.478417266,0.52238806,71,0,0,0,0.753886817
357,0,2,1,4/12/95,21,0,9,0,0,0.105263158,0.280761387,0,1,1,0,6,0.105263158,0.233724653,0.230185497,1,1,0.607913669,0.803837953,79,0,0,0,0.124417012
4153,0,2,1,1/11/94,22,0,4,0,0,0.026315789,0.281441196,0,1,1,0,5,0.026315789,0,0.209106239,1,1,0.505395683,0.515991471,78,0,0,0,0.2947932
5536,0,2,1,8/2/82,33,0,7,0,0.117647059,0.236842105,0.262406526,0.00295203,0,1,1,7,0.236842105,0,0.031197302,1,1,0.582733813,0.631130064,67,0,1,0,0.943681066
2979,1,2,1,1/10/86,30,0,3,0,0,0,0.281441196,0.00010543,0,0,0,2,0,0,0.666947723,0,0,0.365107914,0.381663113,70,0,1,0,0.375902739
6244,1,2,1,7/1/88,27,0,6,0,0,0.052631579,0.280761387,0.00010543,1,1,1,4,0.052631579,0.003201708,0.219224283,1,1,0.422661871,0.594882729,73,0,0,0,0.656505811
5963,0,4,1,1/14/93,23,0,10,0,0,0.026315789,0.340584636,0.017395888,1,0,0,9,0.026315789,0,0.073355818,0,0,0.683453237,0.78891258,77,0,0,1,0.986332976
2944,0,2,1,5/12/84,31,0,2,0,0,0.026315789,-1,0.007169215,0,0,0,1,0.026315789,0,0.888701518,0,0,0.285971223,0.364605544,69,0,1,0,0.780671074
2505,0,4,1,3/7/85,31,0,5,0,0,0,0.279401768,0.000316289,0,0,0,2,0,0,0.688026981,0,0,0.352517986,0.569296375,69,0,1,1,0.418876072
5703,0,2,1,10/31/85,30,0,2,0,0,0.052631579,0.280761387,0.00010543,0,0,0,2,0.052631579,0.01814301,0.064924115,0,0,0.372302158,0.381663113,70,0,1,0,0.825254973
976,0,2,1,4/7/80,36,0,5,0,0,0.421052632,0.281441196,0,1,1,0,3,0.421052632,0,0.159359191,1,1,0.417266187,0.60554371,64,1,1,0,0.381885941
815,0,2,1,8/2/89,26,0,8,0.076923077,0,0.105263158,0.280761387,0.00010543,0,1,1,9,0.105263158,0,0.042158516,1,1,0.64028777,0.665245203,74,0,0,0,0.293533429
5173,0,3,1,6/27/67,48,0,6,0,0,0,0.277362339,0.000632578,0,1,0,2,0,0,0.376053963,1,1,0.318345324,0.603411514,52,1,2,1,0.57256793
1867,0,3,1,10/13/93,22,0,2,0,0,0.026315789,0.280761387,0.00010543,1,1,0,3,0.026315789,0,0.001686341,1,1,0.426258993,0.379530917,78,0,0,1,0.701912677
1743,0,2,1,12/9/94,21,0,7,0,0,0.078947368,0.280761387,0,1,1,0,6,0.078947368,0.003201708,0.064080944,0,1,0.555755396,0.650319829,79,0,0,0,0.807920375
1902,0,2,1,3/22/81,35,0,5,0,0,0.105263158,0.280761387,0.00010543,0,0,0,6,0.105263158,0.03094984,0.986509275,0,0,0.526978417,0.55010661,65,1,1,0,0.047822337
1125,1,2,5,10/3/92,23,0,3,0,0,0,0.281441196,0,0,0,0,3,0,0,0.669477234,0,0,0.429856115,0.375266525,77,0,0,0,0.470997397
6791,0,2,1,11/5/59,56,0,6,0,0,0.815789474,0.266485384,0.002424881,1,1,0,7,0.815789474,0,0.082630691,0,1,0.580935252,0.60554371,44,1,2,0,0.447165872
2770,1,3,7,5/1/72,43,0,2,0,0,0,0.281441196,0,0,0,0,1,0,0,0.602023609,0,0,0.192446043,0.33901919,57,1,1,1,0.442072874
1756,0,2,3,11/13/71,44,0.1,9,0,0,0.5,0.269884432,0.001792304,0,1,1,6,0.5,0,0.118043845,1,1,0.535971223,0.707889126,56,1,1,0,0.188418995
6542,0,2,1,7/13/85,30,0.1,6,0,0,0.210526316,0.280761387,0.00010543,1,1,1,4,0.210526316,0,0.742833052,1,0,0.456834532,0.611940299,70,0,1,0,0.903110054
755,0,2,1,1/26/94,22,0,9,0.076923077,0,0.026315789,0.280761387,0.00010543,1,1,0,9,0.026315789,0.003201708,0.18549747,1,1,0.696043165,0.76119403,78,0,0,0,0.638192269
2862,1,2,1,12/16/90,25,0,5,0,0,0,0.280761387,0.00010543,1,1,1,5,0,0,0.121416526,1,1,0.491007194,0.513859275,75,0,0,0,0.340585226
240,0,3,1,5/14/85,30,0,2,0,0,0.105263158,0.186267845,0.014760148,1,0,0,2,0.105263158,0,0.65682968,0,0,0.303956835,0.388059701,70,0,1,1,0.189084467
2954,0,3,1,3/3/72,44,0,3,0,0,0.052631579,0.280761387,0.00010543,1,1,0,3,0.052631579,0.001067236,0.10539629,0,1,0.413669065,0.47761194,56,1,1,1,0.157458526
